word,freq
null,16
대파,1
밥,1
중식,4
찌개,1
돈까스,13
짜장면,2
감자,2
찜,17
구이,3
치즈,4
국,1
김치찌개,1
제육,2
짜장,1
고구마,1
계란,1
튀김,1
한식,41
반찬,1
