127.0.0.1 - - [22/Oct/2020:10:02:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:02:04 +0900] "GET /disign/naviBarsteep1.html HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:02:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:15:43 +0900] "GET /selector/cssStep1.html HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:16:04 +0900] "GET /selector/cssStep1.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:16:05 +0900] "GET /selector/cssStep1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:16:37 +0900] "GET /selector/cssStep1.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:16:39 +0900] "GET /selector/cssStep1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:18:12 +0900] "GET /selector/cssStep1.html HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:18:13 +0900] "GET /selector/cssStep1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:18:17 +0900] "GET /selector/cssStep1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:18:29 +0900] "GET /selector/cssStep1.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:18:30 +0900] "GET /selector/cssStep1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:18:42 +0900] "GET /selector/cssStep1.html HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:33:08 +0900] "GET /selector/cssStep1.html HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:33:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:40:14 +0900] "GET /selector/cssStep2.html HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:46:37 +0900] "GET /selector/cssStep2.html HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:47:17 +0900] "GET /selector/cssStep2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:47:42 +0900] "GET /selector/cssStep2.html HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:47:53 +0900] "GET /selector/cssStep2.html HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:47:53 +0900] "GET /selector/cssStep2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:47:54 +0900] "GET /selector/cssStep2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:48:03 +0900] "GET /selector/cssStep2.html HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:48:04 +0900] "GET /selector/cssStep2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:48:04 +0900] "GET /selector/cssStep2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:48:04 +0900] "GET /selector/cssStep2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:48:10 +0900] "GET /selector/cssStep2.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:48:10 +0900] "GET /selector/cssStep2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:48:11 +0900] "GET /selector/cssStep2.html HTTP/1.1" 304 -
192.168.0.48 - - [22/Oct/2020:10:52:37 +0900] "GET /images/react.png HTTP/1.1" 404 827
192.168.0.48 - - [22/Oct/2020:10:52:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:16 +0900] "GET /selector/cssStep3.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:31 +0900] "GET /selector/cssStep3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:32 +0900] "GET /selector/cssStep3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:33 +0900] "GET /selector/cssStep3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:55 +0900] "GET /selector/cssStep3.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:56 +0900] "GET /selector/memberShip.html HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:59:05 +0900] "GET /selector/cssStep3.html HTTP/1.1" 304 -
